报告范围=["每日"],选择日期=["2025-08-10"],,,,,,,,,,,,,,,,,,,
搜索频率排名,搜索词,点击量最高的品牌 #1,点击量最高的品牌 #2,点击量最高的品牌 #3,点击量最高的类别 #1,点击量最高的类别 #2,点击量最高的类别 #3,点击量最高的商品 #1：ASIN,点击量最高的商品 #1：商品名称,点击量最高的商品 #1：点击份额,点击量最高的商品 #1：转化份额,点击量最高的商品 #2：ASIN,点击量最高的商品 #2：商品名称,点击量最高的商品 #2：点击份额,点击量最高的商品 #2：转化份额,点击量最高的商品 #3：ASIN,点击量最高的商品 #3：商品名称,点击量最高的商品 #3：点击份额,点击量最高的商品 #3：转化份额,报告日期
88,creed,,Creed,WARNER BROS,Digital_Video_Download,Digital_Music_Purchase,Luxury_Beauty,B017WQ0IQU,Creed,46.08,0,B07KPZMT25,Creed II (4K UHD),29.4,0,B0B8TGB4W9,Creed III,11.97,0,2025/8/10
89,curtains,NICETOWN,Joydeco,Nanspring,Home,Sports,Digital_Video_Download,B0BZDLT95R,"Joydeco Blackout Curtains for Bedroom - Natural Linen Curtains 52"" W x 84"" L (Pack of 2), Thermal Insulated 100% Blackout 2 Panels Linen Rod Pocket & Back Tabs Light Blocking Drapes for Living Room",7.84,1.62,B0BWJDW3BX,Cream Linen Back Tab Curtains 84 Inch Length for Living Room 2 Panel Set Neutral Modern Farmhouse Window Privacy Semi Sheer Linen Drapes Rustic Pinch Pleated Look Curtain Natural Ivory Colored,6.39,1.89,B01CS31R94,"NICETOWN Halloween Pitch Black Solid Thermal Insulated Grommet Blackout Curtains/Drapes for Bedroom Window (2 Panels, 42 inches Wide by 63 inches Long, Black)",5.38,1.62,2025/8/10
90,led lights,DAYBETTER,KSIPZE,Tenmiro,Home Improvement,Home,Automotive,B09V366BDY,KSIPZE 100ft Led Strip Lights RGB Music Sync Color Changing Bluetooth Led Lights with Smart App Control Remote Led Lights for Bedroom Room Lighting Flexible Home Décor,19.75,17.35,B0D4DJ6BRR,"DAYBETTER LED Strip Lights 130ft Lights Strip for Bedroom, Desk, Indoor Room Bedroom Brithday Gifts RGB Decor with Remote and 24V Power Supply",8.59,7.22,B0932M1666,"Tenmiro Led Lights for Bedroom 100ft (2 Rolls of 50ft) Music Sync Color Changing Strip Lights with Remote and App Control RGB Strip, for Room Home Party Decoration",6.32,6.63,2025/8/10
91,fan,Dreo,Amazon Basics,HONEYWELL,Home,Home Improvement,Digital_Video_Download,B082MY2MX3,"Amazon Basics Air Circulator Fan, Desk Fan for Bedroom, Home and Office, With 90-Degree Tilt Head, 3 Speed Settings, Lightweight (3 LBS), 35 Watts, Black, 11.1""W x 6.3""D x 10.9""H",10.86,13.04,B09MKPDJRT,"Dreo Tower Fan for Bedroom, 25ft/s Velocity Quiet Floor Fan, 90° Oscillating Fans for Indoors with 4 Speeds, 4 Modes, 8H Timer, Standing Fans, Bladeless Fan, Black, Nomad One (DR-HTF007)",9.49,5.36,B001R1RXUG,"Honeywell Turboforce Fan, Ht-900, 11 inch",9.04,12.92,2025/8/10
92,halloween decorations,LinkCute,AYGXU,JOYIN,Lawn and Garden,Home,Home Improvement,B0FCC1BBTX,Halloween Decorations Outdoor - 5 FT Large Hanging Swing Ghost Halloween Decor with String Lights - Spooky Cute Ghosts Decorations for Front Porch Yard Tree,5.13,1.33,B0D3T94XJN,"2Packs Halloween Decorations Outdoor,Halloweens Party Decoration Indoor,Spooky Ghost with Remote Control String Lights,Halloween-Ghost Lights for Porches Yards Gardens Lawn",4.5,1.16,B0D454ZJKF,"12 PCS Halloween Witch Hats, Black Hanging Witch Hat, Witch Costume Accessories Witches Hat with 328 FT Nylon Cord Wizard Hats Indoor Outdoor Halloween Decorations for Home Yard Porch Ceiling",2.77,2.66,2025/8/10
93,avocado,Fresh Produce,Produce,365 BY WHOLE FOODS MARKET,Fresh_Produce,Fresh_Perishable,Grocery,B000NOGKN4,Medium Hass Avocado,36.57,35.32,B0014GLSE6,Large Organic Hass Avocado,11.95,11.44,B07FYCB4WX,"Organic Bagged Hass Avocados, 4 Count",11.71,10.4,2025/8/10
94,glue sticks,ELMER'S,Amazon Basics,Adtech,Office Products,Biss,Home,B003ULCZ7M,Elmer's Disappearing Purple School Glue Sticks Washable 6 Grams 12 Count,35.88,36.29,B00143SNPG,Elmer's Disappearing Purple School Glue Sticks Washable 22 Grams 3 Count,22.92,21.22,B000VXO4L2,Elmer's Disappearing Purple School Glue Sticks Washable 7 Grams 30 Count,16.45,15.71,2025/8/10
95,dry erase markers,EXPO,Amazon Basics,maxtek,Office Products,Home,Toys,B00006IFIK,EXPO Low Odor Dry Erase Markers Chisel Tip Assorted Colors 4 Count,14.46,15.93,B0004F7GUI,"EXPO Dry Erase Markers, Low Odor Ink, Assorted Colors, Chisel Tip, 12 Count - Easily Erases, Vibrant Ink, Ideal for Classroom, Back to School Supplies, Teachers, Office, Whiteboard & Home",13.95,11.85,B00T3ROM9G,"Amazon Basics Dry Erase Markers For Whiteboards, Chisel Tip, Low-Odor, Assorted Colors, Pack of 12",11.25,9.91,2025/8/10
96,t,,Jozorro,AUDIBLE,Digital_Video_Download,Apparel,Audible,B09NF5WQ5Q,The Summer I Turned Pretty,72,0,B0FG6DHCQN,Last Dance,5.33,0,B0D6XN334B,Twisters,4.67,0,2025/8/10
97,how to train your dragon,,UNIVERSAL,"Little, Brown Books for Young Readers",Digital_Video_Download,Video DVD,Toys,B0F7RBM86H,How to Train Your Dragon (2025),49.73,0,B079HVH54S,How to Train Your Dragon 2,13,0,B079J5MNNM,How to Train Your Dragon,9.15,0,2025/8/10
98,school supplies,BiC,Amazon Basics,Four Candies,Office Products,Biss,Home,B087TZCTFG,"Amazon Basics Erasable Highlighters Assorted Colors, Dual Tip, 12-Pack, Office and School Supplies for Note-Taking",6,2.49,B09RGH38NZ,"BIC Xtra-Smooth Pastel Mechanical Pencils with Erasers, Medium Point (0.7mm), 24-Count Pack, Bulk Mechanical Pencils for School or Office Supplies",4.59,3.43,B0CDGL2J8R,"Four Candies 39 PCS Aesthetic School Supplies with Cute Pen Case, 12 Pastel Highlighters, 5 Black Ink Gel Pens, 6 Mechanical Pencils Set 0.5 & 0.7 mm for Students Stationary College Essentials (Pink)",4.48,0.67,2025/8/10
99,shower head,Hotel Spa,Veken,SparkPod,Home Improvement,Sports,Outdoors,B0C8611GZV,"Veken Wide Rain Shower Head with 6 Modes Handheld Water Spray,High Pressure Showerhead Combo with Arm for Bathroom Accessories,Home Decor Detachable Dual Shower with Anti-Clog Nozzles,Silver Chrome",6.34,2.13,B08WPQ12XX,"AquaCare High Pressure 8-mode Handheld Shower Head - Anti-clog Nozzles, Built-in Power Wash to Clean Tub, Tile & Pets, Extra Long 6 ft. Stainless Steel Hose, Wall & Overhead Brackets",5.86,4.02,B07SQ4R65K,"HOPOPRO 5-Mode High Pressure Shower Head - The Washington Post, NBC News, Today TV Show Recommended - High Flow Fixed Showerheads (4 Inch Chrome)",5.64,4.65,2025/8/10
100,jurassic world,,Mattel,UNIVERSAL,Digital_Video_Download,Toys,Video DVD,B00ZHWHU40,Jurassic World,44.56,0,B0DH167RJQ,Jurassic World Rebirth,24.46,0,B07DRDD91M,Jurassic World: Fallen Kingdom,6.61,0,2025/8/10
